"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
"0,5079","","100,0000","","","100,0000","",,"HUF",0,"2013.12.02","A321202S13","2032.12.02","2913 nap",2913,"2032/S_BABA","2032/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2014.02.03","A330201S14","2033.02.01","2974 nap",2974,"2033/S_BABA","2033/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2015.02.02","A340201S15","2034.02.01","3339 nap",3339,"2034/S_BABA","2034/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2016.02.01","A350201S16","2035.02.01","3704 nap",3704,"2035/S_BABA","2035/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2017.02.01","A360201S17","2036.02.01","4069 nap",4069,"2036/S_BABA","2036/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2018.02.01","A370201S18","2037.02.01","4435 nap",4435,"2037/S_BABA","2037/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2019.02.01","A380201S19","2038.02.01","4800 nap",4800,"2038/S_BABA","2038/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2020.02.03","A390201S20","2039.02.01","5165 nap",5165,"2039/S_BABA","2039/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2021.02.01","A400201S21","2040.02.01","5530 nap",5530,"2040/S_BABA","2040/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2022.02.01","A410201S22","2041.02.01","5896 nap",5896,"2041/S_BABA","2041/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2023.02.01","A420201S23","2042.02.01","6261 nap",6261,"2042/S_BABA","2042/S_BABA","BABA","2024.12.11"
"17,6732","","100,0000","","","100,0000","",,"HUF",0,"2024.02.01","A430201S24","2043.02.01","6626 nap",6626,"2043/S_BABA","2043/S_BABA","BABA","2024.12.11"
