"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
"15,6352","","100,0000","","","100,0000","",,"HUF",0,"2013.12.02","A321202S13","2032.12.02","2961 nap",2961,"2032/S_BABA","2032/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2014.02.03","A330201S14","2033.02.01","3022 nap",3022,"2033/S_BABA","2033/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2015.02.02","A340201S15","2034.02.01","3387 nap",3387,"2034/S_BABA","2034/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2016.02.01","A350201S16","2035.02.01","3752 nap",3752,"2035/S_BABA","2035/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2017.02.01","A360201S17","2036.02.01","4117 nap",4117,"2036/S_BABA","2036/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2018.02.01","A370201S18","2037.02.01","4483 nap",4483,"2037/S_BABA","2037/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2019.02.01","A380201S19","2038.02.01","4848 nap",4848,"2038/S_BABA","2038/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2020.02.03","A390201S20","2039.02.01","5213 nap",5213,"2039/S_BABA","2039/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2021.02.01","A400201S21","2040.02.01","5578 nap",5578,"2040/S_BABA","2040/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2022.02.01","A410201S22","2041.02.01","5944 nap",5944,"2041/S_BABA","2041/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2023.02.01","A420201S23","2042.02.01","6309 nap",6309,"2042/S_BABA","2042/S_BABA","BABA","2024.10.24"
"14,9716","","100,0000","","","100,0000","",,"HUF",0,"2024.02.01","A430201S24","2043.02.01","6674 nap",6674,"2043/S_BABA","2043/S_BABA","BABA","2024.10.24"
